latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,date_end,date_complete,brightness,bright_t31
44.89494,-1.05757,,1.44,1.19,2026-07-22,1957,Terra,MODIS,100,6.1NRT,,80.37,N,2026-07-24 18:04:55,2026-07-22 21:57:00,343.74,290.34
44.89709,-1.02766,,1.43,1.18,2026-07-22,1957,Terra,MODIS,100,6.1NRT,,88.19,N,2026-07-24 18:04:55,2026-07-22 21:57:00,345.15,286.35
44.89817,-1.04028,,1.44,1.19,2026-07-22,1957,Terra,MODIS,100,6.1NRT,,69.9,N,2026-07-24 18:04:55,2026-07-22 21:57:00,340.05,288.78
44.90141,-1.02299,,1.43,1.18,2026-07-22,1957,Terra,MODIS,100,6.1NRT,,50.69,N,2026-07-24 18:04:55,2026-07-22 21:57:00,331.64,279.67
44.90389,-1.04879,,1.44,1.19,2026-07-22,1957,Terra,MODIS,34,6.1NRT,,13.34,N,2026-07-24 18:04:55,2026-07-22 21:57:00,308.83,282.29
44.9072,-1.03155,,1.43,1.18,2026-07-22,1957,Terra,MODIS,44,6.1NRT,,9.47,N,2026-07-24 18:04:55,2026-07-22 21:57:00,304.32,279.23
44.90122,-1.03395,348.39,0.44,0.62,2026-07-22,1155,N21,VIIRS,n,2.0NRT,303.11,38.87,D,2026-07-24 18:04:57,2026-07-22 13:55:00,,
44.90275,-1.02882,367.0,0.44,0.62,2026-07-22,1155,N21,VIIRS,h,2.0NRT,326.59,38.87,D,2026-07-24 18:04:57,2026-07-22 13:55:00,,
44.90429,-1.02367,346.78,0.44,0.62,2026-07-22,1155,N21,VIIRS,n,2.0NRT,307.36,27.16,D,2026-07-24 18:04:57,2026-07-22 13:55:00,,
44.8916,-1.0322,354.57,0.58,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,303.57,45.33,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.89204,-1.02492,344.79,0.58,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,298.56,45.33,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.89551,-1.04736,335.99,0.57,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,298.67,307.56,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.89595,-1.04007,367.0,0.58,0.52,2026-07-22,1336,N21,VIIRS,l,2.0NRT,357.76,307.56,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.89639,-1.03279,367.0,0.58,0.52,2026-07-22,1336,N21,VIIRS,l,2.0NRT,335.32,231.02,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.89684,-1.02553,367.0,0.58,0.52,2026-07-22,1336,N21,VIIRS,l,2.0NRT,325.37,231.02,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.90073,-1.04067,367.0,0.58,0.52,2026-07-22,1336,N21,VIIRS,l,2.0NRT,326.48,307.56,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.90118,-1.03339,367.0,0.58,0.52,2026-07-22,1336,N21,VIIRS,h,2.0NRT,347.93,231.02,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.90163,-1.02609,353.8,0.58,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,321.32,231.02,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.90207,-1.01881,337.66,0.58,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,302.94,16.63,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.90598,-1.03397,343.78,0.58,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,304.27,12.05,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.90642,-1.02669,342.16,0.58,0.52,2026-07-22,1336,N21,VIIRS,n,2.0NRT,306.11,12.05,D,2026-07-24 18:04:57,2026-07-22 15:36:00,,
44.89661,-1.02658,367.0,0.43,0.46,2026-07-22,1232,N,VIIRS,h,2.0NRT,320.97,58.0,D,2026-07-24 18:04:58,2026-07-22 14:32:00,,
44.89784,-1.02128,341.8,0.43,0.46,2026-07-22,1232,N,VIIRS,n,2.0NRT,306.55,58.0,D,2026-07-24 18:04:58,2026-07-22 14:32:00,,
44.89945,-1.03375,312.32,0.43,0.46,2026-07-22,1232,N,VIIRS,l,2.0NRT,315.37,103.97,D,2026-07-24 18:04:58,2026-07-22 14:32:00,,
44.90067,-1.02846,367.0,0.43,0.46,2026-07-22,1232,N,VIIRS,l,2.0NRT,335.97,58.0,D,2026-07-24 18:04:58,2026-07-22 14:32:00,,
44.9019,-1.02317,367.0,0.43,0.46,2026-07-22,1232,N,VIIRS,l,2.0NRT,331.08,58.0,D,2026-07-24 18:04:58,2026-07-22 14:32:00,,
44.88488,-1.04762,334.95,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,296.28,29.08,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88491,-1.03977,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,306.89,45.53,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88493,-1.03187,344.58,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,295.68,45.53,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88718,-1.04933,332.19,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,296.29,108.63,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88725,-1.04149,208.0,0.6,0.7,2026-07-22,1412,N,VIIRS,l,2.0NRT,317.31,108.63,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88731,-1.03359,351.41,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,308.59,143.96,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88738,-1.0257,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,297.72,143.96,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.88744,-1.01782,332.01,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,294.32,17.04,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89156,-1.03188,353.29,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,308.37,195.84,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89159,-1.02405,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,295.72,36.45,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89162,-1.01615,332.36,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,292.44,36.45,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.8938,-1.0493,337.0,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,294.93,112.46,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89394,-1.03354,356.34,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,315.56,86.12,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89401,-1.0257,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,304.43,86.12,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89407,-1.01784,337.9,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,293.16,21.93,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89812,-1.04762,348.75,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,296.91,202.48,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89816,-1.03973,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,329.61,195.84,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89819,-1.03189,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,305.56,195.84,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.89822,-1.02407,354.8,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,295.5,36.45,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.9005,-1.04139,342.82,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,298.92,112.46,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.90057,-1.03353,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,313.2,86.12,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.90063,-1.02566,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,301.26,86.12,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.90071,-1.01779,336.11,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,293.06,21.93,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.90479,-1.03975,332.98,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,292.49,13.46,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.90482,-1.0319,367.0,0.6,0.7,2026-07-22,1412,N,VIIRS,h,2.0NRT,298.94,13.46,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.90485,-1.02404,339.99,0.6,0.7,2026-07-22,1412,N,VIIRS,n,2.0NRT,297.19,17.65,D,2026-07-24 18:04:58,2026-07-22 16:12:00,,
44.81498,-1.12425,299.52,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.52,0.84,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81509,-1.13093,302.4,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,280.72,1.07,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8152,-1.13766,305.48,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,282.36,1.07,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81531,-1.14439,307.33,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,283.77,1.48,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81541,-1.15109,305.48,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.98,1.48,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81553,-1.15774,303.23,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.51,2.36,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8157,-1.1116,296.11,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.02,1.5,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81584,-1.11834,298.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,279.6,1.5,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81599,-1.12503,302.74,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.85,6.04,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81613,-1.13171,306.53,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,281.54,6.04,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81627,-1.13843,310.41,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,282.78,34.56,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81642,-1.14514,313.89,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,284.38,34.56,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81656,-1.15184,310.25,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.91,10.37,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81671,-1.15849,305.8,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.26,10.37,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.81684,-1.16513,303.47,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.76,1.88,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82071,-1.09712,297.76,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.67,1.45,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82082,-1.10377,300.39,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,275.26,3.39,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82093,-1.11047,304.31,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.27,3.39,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82105,-1.1172,310.08,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.45,15.22,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82116,-1.12393,317.35,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,280.88,15.22,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82127,-1.13059,326.22,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,282.7,48.46,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82138,-1.13732,348.41,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.48,48.46,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82143,-1.09128,296.45,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.1,0.67,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82149,-1.14403,347.19,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,304.57,43.72,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82158,-1.09795,299.12,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.5,1.11,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8216,-1.15074,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,286.88,43.72,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82171,-1.15742,323.79,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,284.84,4.21,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82172,-1.10461,302.58,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.64,1.11,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82182,-1.1641,315.1,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.06,4.21,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82187,-1.1113,307.53,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.93,1.5,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82193,-1.17078,307.77,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.75,1.08,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82202,-1.11802,314.88,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.77,1.5,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82204,-1.1775,300.98,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.54,1.08,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82217,-1.12474,322.49,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,281.5,6.04,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82231,-1.13142,333.45,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,283.68,6.04,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82246,-1.13812,345.54,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,296.39,34.56,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8226,-1.14482,351.53,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,303.52,34.56,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82274,-1.15151,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,285.96,10.37,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82289,-1.1582,325.08,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.0,10.37,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82304,-1.16487,315.11,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.23,1.88,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82318,-1.17154,307.52,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.8,1.88,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82665,-1.08349,297.52,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.77,0.99,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82676,-1.09014,301.42,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.83,1.45,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82688,-1.09681,307.33,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.09,1.45,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82699,-1.10347,315.93,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.04,3.39,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82711,-1.11016,326.31,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,279.49,3.39,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82722,-1.11686,337.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,281.13,15.22,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8273,-1.07775,296.01,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.26,0.66,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82734,-1.12358,347.17,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,291.93,15.22,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82745,-1.13031,355.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,297.19,48.46,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82745,-1.08437,299.41,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.61,1.62,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82756,-1.13702,344.68,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,313.52,48.46,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8276,-1.09102,303.95,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,277.74,1.62,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82767,-1.1437,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,294.23,43.72,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82775,-1.09767,311.69,0.51,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,276.0,12.06,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82779,-1.15039,342.74,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.23,43.72,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82789,-1.10434,322.17,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,278.02,12.06,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.8279,-1.15706,329.55,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.72,4.21,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82801,-1.16372,316.86,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.75,4.21,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82804,-1.11102,334.68,0.52,0.66,2026-07-23,105,N20,VIIRS,n,2.0NRT,279.88,61.34,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82812,-1.17038,307.55,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.72,1.08,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82819,-1.1177,355.14,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,284.1,61.34,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82823,-1.17706,300.73,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.88,1.08,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82834,-1.12442,343.08,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,302.01,76.43,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82849,-1.13115,347.11,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,302.03,76.43,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82864,-1.13785,351.71,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,304.71,40.49,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82878,-1.14451,367.0,0.52,0.67,2026-07-23,105,N20,VIIRS,h,2.0NRT,288.69,40.49,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82893,-1.1512,337.69,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,285.33,5.18,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82907,-1.15786,324.31,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.9,5.18,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82922,-1.16447,312.85,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,287.36,2.73,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
44.82936,-1.17115,305.03,0.52,0.67,2026-07-23,105,N20,VIIRS,n,2.0NRT,286.14,2.73,N,2026-07-24 18:06:00,2026-07-23 03:05:00,,
